Afghanistan Kabul	4,601,789	12.4%	2021
Seychelles	Victoria	26,450	27.2%	2010
Sierra Leone	Freetown	1,055,964	13.8%	2015
Singapore	Singapore	5,453,600	94.7%	[19] 2021
Slovakia	Bratislava	440,948	8.1%	[69] 2020
Slovenia *	Ljubljana	285,604	13.7%	[73] 2021
Solomon Islands	Honiara	92,344	14.1%	2021
Somalia	Mogadishu	2,388,000	15.9%	2021
South Africa	Pretoria	2,921,488	5.1%	[24] 2011
South Korea *	Seoul	9,508,451	18.6%	[7] 2022
South Sudan *	Juba	525,953	4.8%	2017
Spain *	Madrid	3,305,408	7.1%	[22] 2021
Sri Lanka	Sri Jayawardenepura Kotte	107,925	0.5%	2012
Sudan *	Khartoum	2,682,431	6.4%	2012
Suriname	Paramaribo	240,924	41.8%	2012
Sweden *	Stockholm	978,770	9.8%	[53] 2021
Switzerland *	Bern (de facto)	134,591	1.6%	[78] 2020
Syria	Damascus	2,079,000	12.3%	2019
Taiwan *	Taipei	2,608,332	11.0%	[31] 2020
Tajikistan *	Dushanbe	863,400	9.5%	2020
Tanzania	Dodoma	410,956	0.7%	2012
Thailand	Bangkok	8,305,218	12.0%	[12] 2010
Togo	Lomé	837,437	10.6%	2010
Tonga	Nukuʻalofa	27,600	26.7%	2022
Trinidad and Tobago	Port of Spain	37,074	2.7%	2011
Tunisia	Tunis	638,845	5.5%	2014
Turkey *	Ankara	5,747,325	7.0%	[18] 2021
Turkmenistan	Ashgabat	791,000	13.5%	2017
Tuvalu	Funafuti	6,320	54.9%	2017
Uganda	Kampala	1,680,600	3.9%	2019
Ukraine *	Kyiv	2,920,873	6.6%	[25] 2021
United Arab Emirates	Abu Dhabi	1,010,092	10.5%	2020
United Kingdom *	London	9,002,488	13.4%	[9] 2020
United States *	Washington, D.C.	670,050	0.2%	[61] 2021
Uruguay	Montevideo	1,319,108	38.2%	2011
Uzbekistan *	Tashkent	2,860,600	8.8%	[27] 2022
Vanuatu	Port Vila	51,437	17.6%	2016
Vatican City	Vatican City (city-state)	453	100%	[87] 2019
Venezuela	Caracas	2,245,744	7.8%	2017
Vietnam	Hanoi	8,053,663	8.4%	[13] 2019
Yemen	Sanaa	2,575,347	9.0%	2012
Zambia	Lusaka	2,731,696	15.7%	2020
Zimbabwe	Harare	2,123,132	14.7%	2012
